Gymname,WardNo,"1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925",T1914,T1915,T1916,T1917,T1918,T1919,T1920,,,,long,lat
Cabot Street Gymnasium,18,9173,5715,5424,11689,7784,1415,655,2192,6075,4980,5736,1780,34077,32106,31666,39136,30713,9104,17159,,,,-71.08803799,42.33566763
Curtis Hall Gymnasium,22,5335,3030,3535,4245,3362,1021,1331,3729,0,855,0,258,34077,32106,31666,39136,30713,9104,17159,,,,-71.11433718,42.31038691
D Street Gymnasium,13,1406,3884,4268,4412,4465,1566,0,539,2481,0,0,0,34077,32106,31666,39136,30713,9104,17159,,,,-71.04763385,42.34443319
East Boston Gymnasium,2,3538,3341,2774,1929,2022,0,2014,4423,8153,9732,3611,0,34077,32106,31666,39136,30713,9104,17159,,,,-71.0426809,42.3745293
North Bennet Street,6,3010,3241,4039,4094,1962,0,2195,6115,7845,6920,8760,0,34077,32106,31666,39136,30713,9104,17159,,,,-71.05896404,42.36595008
Roslindale Gymnasium,24,0,0,0,0,0,193,630,673,683,973,488,115,34077,32106,31666,39136,30713,9104,17159,,,,-71.04763385,42.3072906
"Roxbury, Dudley and Vine St",17,0,0,1546,3225,3086,659,1815,2270,2845,5400,3362,0,34077,32106,31666,39136,30713,9104,17159,,,,-71.07632303,42.32951193
Charlesbank,3,3279,3279,2428,0,0,0,0,0,0,0,0,0,34077,32106,31666,39136,30713,9104,17159,,,,-71.075582535784349, 42.359921287975531
Tyler Street,7,2091,1423,288,1417,1086,177,237,162,518,227,276,0,34077,32106,31666,39136,30713,9104,17159,,,,-71.06319075,42.35036696
Ward 9,9,1467,1683,3141,2398,1701,1507,1252,288,1850,1977,2254,0,34077,32106,31666,39136,30713,9104,17159,,,,-71.06576609,42.37666429
,,,,,,,,,,,,,,,,,,,,,,,,,
