ward,type,individuals,men,schoolboys,workingboys,women,girls,mothers,date,totals
18,Cabot Street Gymnasium,9173,5571,9562,3175,4701,4830,993,1914,38005
18,Cabot Street Gymnasium,5715,5307,7416,3636,2631,4203,659,1915,29567
18,Cabot Street Gymnasium,5424,3916,5965,3897,1732,3275,409,1916,24618
18,Cabot Street Gymnasium,11689,4673,9749,3804,1828,5339,0,1917,37082
18,Cabot Street Gymnasium,7784,3089,12646,2755,395,6524,0,1918,33193
18,Cabot Street Gymnasium,1415,1508,3875,1487,145,2070,0,1919,10500
18,Cabot Street Gymnasium,655,1665,4040,1847,883,2963,0,1920,12053
18,Cabot Street Gymnasium,2192,1694,2834,1185,25,2685,0,1921,10615
18,Cabot Street Gymnasium,6075,2872,6972,2176,2312,5035,0,1922,25442
18,Cabot Street Gymnasium,4980,2416,4717,2445,2789,3726,0,1923,21073
18,Cabot Street Gymnasium,5736,2834,5345,3047,1843,3949,0,1924,22754
18,Cabot Street Gymnasium,1780,1235,2670,705,2400,1675,0,1925,10465
22,Curtis Hall Gymnasium,5335,6835,8255,6185,7890,6035,2705,1914,43240
22,Curtis Hall Gymnasium,3030,4135,7355,5205,5475,5650,2565,1915,33415
22,Curtis Hall Gymnasium,3535,3510,5605,4180,4870,4880,2685,1916,29265
22,Curtis Hall Gymnasium,4245,3300,7055,4380,4750,4895,2615,1917,31240
22,Curtis Hall Gymnasium,3362,1699,4133,2328,3037,3164,2110,1918,19833
22,Curtis Hall Gymnasium,1021,314,1981,916,1554,1168,274,1919,7228
22,Curtis Hall Gymnasium,1331,1005,2958,1820,987,1145,66,1920,9312
22,Curtis Hall Gymnasium,3729,2595,3727,2017,1196,4032,552,1921,17848
22,Curtis Hall Gymnasium,0,1185,3180,1350,0,2055,0,1922,7770
22,Curtis Hall Gymnasium,855,3027,4072,3009,1618,2641,401,1923,15623
22,Curtis Hall Gymnasium,0,1904,4507,1516,2562,3377,2236,1924,16102
22,Curtis Hall Gymnasium,258,2420,3352,1926,3407,2352,3115,1925,16830
13,D Street Gymnasium,1406,5393,5125,2193,905,3337,0,1914,18359
13,D Street Gymnasium,3884,5834,4813,3578,293,3193,145,1915,21740
13,D Street Gymnasium,4268,3723,8839,2847,888,3286,377,1916,24228
13,D Street Gymnasium,4412,2430,9702,3652,861,4102,0,1917,25159
13,D Street Gymnasium,4465,2021,6626,3955,749,5140,0,1918,22956
13,D Street Gymnasium,1566,463,975,1660,85,1072,0,1919,5821
13,D Street Gymnasium,0,0,0,0,0,0,0,1920,0
13,D Street Gymnasium,539,3878,9836,3031,0,8534,0,1921,25818
13,D Street Gymnasium,2481,3366,3588,3515,2153,2256,338,1922,17697
2,East Boston Gymnasium,3538,6157,7500,3566,4266,7642,558,1914,33227
2,East Boston Gymnasium,3341,6003,7077,5589,2457,7431,286,1915,32184
2,East Boston Gymnasium,2774,5124,7688,3394,2165,6636,0,1916,27781
2,East Boston Gymnasium,1929,3714,7027,2911,1402,4726,0,1917,21709
2,East Boston Gymnasium,2022,2830,7955,1770,1161,4099,0,1918,19837
2,East Boston Gymnasium,2014,1467,447,447,802,3171,0,1920,8348
2,East Boston Gymnasium,4423,4512,4867,517,1028,4838,0,1921,20185
2,East Boston Gymnasium,8153,5044,4379,1318,929,3473,0,1922,23296
2,East Boston Gymnasium,9732,3308,5848,1204,1924,2523,0,1923,24539
2,East Boston Gymnasium,3611,1633,2769,731,638,979,0,1924,10361
6,North Bennet Street,3010,5563,9639,1502,2240,2785,1774,1914,26513
6,North Bennet Street,3241,3302,7310,1019,1298,2442,954,1915,19566
6,North Bennet Street,4039,2545,7645,1520,674,2465,0,1916,18888
6,North Bennet Street,4094,2373,7735,1863,1163,2627,0,1917,19855
6,North Bennet Street,1962,1148,6298,789,502,2638,0,1918,13337
6,North Bennet Street,2195,910,265,265,665,1110,0,1920,5410
6,North Bennet Street,6115,3345,6995,1445,1625,3625,0,1921,23150
6,North Bennet Street,7845,4900,8890,2600,2375,4430,0,1922,31040
6,North Bennet Street,6920,4155,8135,1895,1918,6360,0,1923,29383
6,North Bennet Street,8760,3165,7350,1533,635,3995,0,1924,25438
6,North Bennet Street,0,915,1515,415,1135,1390,0,1925,5370
24,Roslindale Gymnasium,193,431,1443,291,888,1060,34,1919,4340
24,Roslindale Gymnasium,630,1669,1667,1667,3784,4085,34,1920,13536
24,Roslindale Gymnasium,673,1957,9494,2679,4066,5444,0,1921,24313
24,Roslindale Gymnasium,683,2665,9886,3771,2015,6035,0,1922,25055
24,Roslindale Gymnasium,973,3159,9219,3363,1481,6640,0,1923,24835
24,Roslindale Gymnasium,488,1998,8172,3660,938,7108,0,1924,22364
24,Roslindale Gymnasium,115,2059,3408,2585,1651,2965,0,1925,12783
0,Ward 6,1509,1891,5844,1140,190,1973,29,1917,12576
0,Ward 6,768,782,3188,600,186,1276,422,1918,7222
0,Ward 6,425,270,1105,237,262,766,0,1919,3065
0,Ward 6,83,203,231,304,118,195,0,1921,1134
0,Ward 6,342,1127,1466,834,234,1030,74,1922,5107
12,Ward 12,4218,3581,8887,2149,3366,8016,1600,1917,31817
12,Ward 12,4477,3199,8524,1190,3098,6314,1602,1918,28404
12,Ward 12,2141,1266,4863,355,1072,3977,44,1919,13718
12,Ward 12,7030,1315,560,560,853,4385,685,1920,15388
12,Ward 12,690,1622,8728,1260,610,5320,88,1921,18318
12,Ward 12,1775,2953,8631,1782,660,6134,514,1922,22449
12,Ward 12,646,3199,9001,3136,1195,5305,210,1923,22692
12,Ward 12,0,2483,5937,3448,1729,4525,0,1924,18122
16,Ward 16,4778,9055,9534,6661,9383,9109,1543,1914,50063
16,Ward 16,6510,10045,6435,9029,6618,7138,3946,1915,49721
16,Ward 16,4223,7751,8203,6509,6288,9536,6096,1916,48606
17,Ward 17,1546,1262,4647,609,1765,3666,721,1916,14216
17,Ward 17,3225,7726,15082,6051,6625,11593,6516,1917,56818
17,Ward 17,3086,7865,11927,2724,6714,11351,4447,1918,48114
17,Ward 17,659,2151,5797,1360,2089,6625,509,1919,19190
17,Ward 17,1815,5183,4600,4600,3560,9400,703,1920,29861
17,Ward 17,2270,5810,8045,5094,4262,9223,1067,1921,35771
17,Ward 17,2845,6685,8920,8330,5127,9070,1657,1922,42634
17,Ward 17,5400,6215,6680,6255,5407,7235,1910,1923,39102
17,Ward 17,3362,5280,5404,6555,5225,6614,1277,1924,33717
3,Ward 3,3279,2160,3450,1775,1846,4437,765,1914,17712
3,Ward 3,3279,2160,3450,1775,1846,4437,765,1915,17712
3,Ward 3,2428,1689,3219,2070,1797,3862,1911,1916,16976
4,Ward 4,1417,2037,5085,1552,1581,4852,2119,1917,18643
4,Ward 4,1086,1517,4128,1017,1080,3966,2085,1918,14879
4,Ward 4,177,441,1512,571,401,1487,1004,1919,5593
4,Ward 4,237,925,1054,1054,798,3513,1466,1920,9047
4,Ward 4,162,654,1860,900,487,2399,1574,1921,8036
4,Ward 4,518,1016,2200,1341,988,5142,1655,1922,12860
4,Ward 4,227,1339,2140,1356,947,4505,1173,1923,11687
4,Ward 4,276,2463,1689,1578,619,4649,428,1924,11702
5,Ward 5,2398,2395,8349,1285,1229,3370,0,1917,19026
5,Ward 5,1701,2213,6174,297,1176,1696,0,1918,13257
5,Ward 5,1507,1086,3323,470,546,2933,0,1919,9865
5,Ward 5,1252,1101,2374,2374,654,2658,0,1920,10413
5,Ward 5,288,351,571,213,341,483,0,1921,2247
5,Ward 5,1850,2400,4585,849,989,3213,346,1922,14232
5,Ward 5,1977,2104,4900,892,759,2711,397,1923,13740
5,Ward 5,2254,2292,4878,1139,813,2645,119,1924,14140
6,Ward 6,529,1267,2796,858,575,2257,0,1923,8282
6,Ward 6,329,426,907,392,248,865,0,1924,3167
7,Ward 7,2091,2758,4173,1621,2065,2717,0,1914,15425
7,Ward 7,1423,2175,3852,1413,1870,2309,0,1915,13042
7,Ward 7,288,515,1709,309,314,880,0,1916,4015
0,Ward 9,1467,2065,3718,326,673,2043,520,1914,10812
0,Ward 9,1683,2210,5036,973,921,3257,645,1915,14725
0,Ward 9,3141,2571,5877,719,1598,4319,767,1916,18992
