"year","ward","agegrp","count"
1910,0,"(10,20]",88
1910,0,"(0,10]",72
1910,0,"(20,30]",67
1910,0,"(30,40]",58
1910,0,"(40,50]",42
1910,0,"(50,60]",28
1910,0,"(60,70]",18
1910,0,NA,10
1910,0,"(70,80]",2
1910,0,"(80,90]",2
1910,1,"(10,20]",84
1910,1,"(20,30]",80
1910,1,"(0,10]",69
1910,1,"(30,40]",68
1910,1,"(40,50]",39
1910,1,"(50,60]",22
1910,1,NA,15
1910,1,"(60,70]",13
1910,1,"(70,80]",9
1910,1,"(90,100]",1
1910,2,"(0,10]",91
1910,2,"(10,20]",78
1910,2,"(30,40]",53
1910,2,"(20,30]",52
1910,2,"(40,50]",47
1910,2,"(50,60]",19
1910,2,"(60,70]",15
1910,2,NA,9
1910,2,"(70,80]",7
1910,3,"(20,30]",46
1910,3,"(30,40]",41
1910,3,"(10,20]",29
1910,3,"(0,10]",24
1910,3,"(40,50]",15
1910,3,"(50,60]",12
1910,3,"(60,70]",7
1910,3,"(70,80]",7
1910,3,"(80,90]",1
1910,3,"(90,100]",1
1910,3,NA,1
1910,4,"(20,30]",34
1910,4,"(0,10]",27
1910,4,"(10,20]",19
1910,4,"(40,50]",19
1910,4,"(30,40]",14
1910,4,"(50,60]",13
1910,4,"(60,70]",10
1910,4,NA,5
1910,4,"(70,80]",3
1910,4,"(80,90]",2
1910,4,"(90,100]",1
1910,5,"(20,30]",36
1910,5,"(30,40]",36
1910,5,"(0,10]",25
1910,5,"(10,20]",25
1910,5,"(40,50]",16
1910,5,"(50,60]",11
1910,5,"(60,70]",10
1910,5,"(70,80]",7
1910,5,NA,3
1910,5,"(80,90]",1
1910,6,"(20,30]",42
1910,6,"(0,10]",37
1910,6,"(10,20]",22
1910,6,"(30,40]",20
1910,6,"(40,50]",9
1910,6,NA,7
1910,6,"(50,60]",6
1910,6,"(60,70]",4
1910,6,"(70,80]",2
1910,6,"(80,90]",1
1910,7,"(10,20]",27
1910,7,"(40,50]",21
1910,7,"(30,40]",19
1910,7,"(20,30]",18
1910,7,"(50,60]",16
1910,7,"(0,10]",14
1910,7,"(60,70]",8
1910,7,"(70,80]",4
1910,7,"(80,90]",1
1910,8,"(20,30]",68
1910,8,"(10,20]",48
1910,8,"(30,40]",41
