"","NATIVITY","BPLD","YEAR","WARD","SEX","NFAMS","AGE","OCC","NATIVITY_MOM","BIRTHPLACE","Nativity_Type","age_classified"
"1",1,2500,1910,0,"male",3,57,370,1,"Massachusetts","Native born, and both parents native born","(50,60]"
"2",1,5000,1910,0,"female",3,79,999,NA,"Vermont","Native born, and both parents native born","(70,80]"
"3",1,2300,1910,0,"female",3,69,154,NA,"Maine","Native born, and both parents native born","(60,70]"
"4",5,41400,1910,0,"female",3,83,960,NA,"Ireland","Foreign born","(80,90]"
"5",1,2500,1910,1,"male",1,43,912,1,"Massachusetts","Native born, and both parents native born","(40,50]"
"6",5,15000,1910,1,"female",1,42,999,NA,"Canada","Foreign born","(40,50]"
"7",3,2500,1910,1,"female",1,18,454,5,"Massachusetts","Native born, and mother foreign, father native","(10,20]"
"8",3,2500,1910,1,"female",1,14,999,5,"Massachusetts","Native born, and mother foreign, father native","(10,20]"
"9",3,2500,1910,1,"male",1,11,999,5,"Massachusetts","Native born, and mother foreign, father native","(10,20]"
"10",1,2300,1910,1,"female",1,73,999,NA,"Maine","Native born, and both parents native born","(70,80]"
"11",5,15000,1910,1,"male",1,42,178,NA,"Canada","Foreign born","(40,50]"
"12",5,15000,1910,1,"female",1,44,999,NA,"Canada","Foreign born","(40,50]"
"13",4,2500,1910,1,"female",1,18,999,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"14",4,2500,1910,1,"female",1,16,999,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"15",4,2500,1910,1,"female",1,14,999,5,"Massachusetts","Native born, and both parents foreign","(10,20]"
"16",4,2500,1910,1,"female",1,10,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"17",1,2500,1910,1,"male",1,34,148,NA,"Massachusetts","Native born, and both parents native born","(30,40]"
"18",1,2500,1910,1,"female",1,33,999,NA,"Massachusetts","Native born, and both parents native born","(30,40]"
"19",1,2500,1910,1,"female",1,12,999,1,"Massachusetts","Native born, and both parents native born","(10,20]"
"20",1,2500,1910,1,"male",1,10,999,1,"Massachusetts","Native born, and both parents native born","(0,10]"
"21",4,2500,1910,1,"female",1,64,999,NA,"Massachusetts","Native born, and both parents foreign","(60,70]"
"22",1,2500,1910,1,"female",1,37,999,4,"Massachusetts","Native born, and both parents native born","(30,40]"
"23",1,2500,1910,1,"male",1,42,362,4,"Massachusetts","Native born, and both parents native born","(40,50]"
"24",5,15000,1910,1,"male",1,74,148,NA,"Canada","Foreign born","(70,80]"
"25",5,15000,1910,1,"male",2,40,954,NA,"Canada","Foreign born","(30,40]"
"26",4,2300,1910,1,"female",2,35,999,NA,"Maine","Native born, and both parents foreign","(30,40]"
"27",2,2300,1910,1,"male",2,13,999,4,"Maine","Native born, and father foreign, mother native","(10,20]"
"28",2,2300,1910,1,"male",2,10,999,4,"Maine","Native born, and father foreign, mother native","(0,10]"
"29",2,2300,1910,1,"female",2,8,999,4,"Maine","Native born, and father foreign, mother native","(0,10]"
"30",2,2300,1910,1,"male",2,6,999,4,"Maine","Native born, and father foreign, mother native","(0,10]"
"31",2,2500,1910,1,"male",2,2,999,4,"Massachusetts","Native born, and father foreign, mother native","(0,10]"
"32",1,3900,1910,1,"male",2,27,954,NA,"Ohio","Native born, and both parents native born","(20,30]"
"33",1,2500,1910,1,"female",2,47,759,NA,"Massachusetts","Native born, and both parents native born","(40,50]"
"34",1,2500,1910,1,"male",2,24,636,1,"Massachusetts","Native born, and both parents native born","(20,30]"
"35",1,2500,1910,1,"female",2,28,999,NA,"Massachusetts","Native born, and both parents native born","(20,30]"
"36",1,2500,1910,1,"male",2,3,999,1,"Massachusetts","Native born, and both parents native born","(0,10]"
"37",1,2500,1910,1,"female",2,0,999,1,"Massachusetts","Native born, and both parents native born",NA
"38",1,2500,1910,1,"female",2,56,936,NA,"Massachusetts","Native born, and both parents native born","(50,60]"
"39",1,2500,1910,1,"male",1,44,693,NA,"Massachusetts","Native born, and both parents native born","(40,50]"
"40",4,2500,1910,1,"female",1,38,999,NA,"Massachusetts","Native born, and both parents foreign","(30,40]"
"41",1,2500,1910,1,"female",1,8,999,4,"Massachusetts","Native born, and both parents native born","(0,10]"
"42",1,2500,1910,1,"male",1,5,999,4,"Massachusetts","Native born, and both parents native born","(0,10]"
"43",1,2500,1910,1,"male",1,4,999,4,"Massachusetts","Native born, and both parents native born","(0,10]"
"44",1,2500,1910,1,"male",1,2,999,4,"Massachusetts","Native born, and both parents native born","(0,10]"
"45",1,2300,1910,1,"male",1,48,164,NA,"Maine","Native born, and both parents native born","(40,50]"
"46",1,2300,1910,1,"female",1,42,999,NA,"Maine","Native born, and both parents native born","(40,50]"
"47",1,2300,1910,1,"female",1,18,999,1,"Maine","Native born, and both parents native born","(10,20]"
"48",1,2300,1910,1,"male",1,14,999,1,"Maine","Native born, and both parents native born","(10,20]"
"49",1,2300,1910,1,"female",1,8,999,1,"Maine","Native born, and both parents native born","(0,10]"
"50",5,15000,1910,1,"male",2,50,988,NA,"Canada","Foreign born","(40,50]"
"51",5,15000,1910,1,"female",2,24,995,NA,"Canada","Foreign born","(20,30]"
"52",5,15000,1910,1,"female",2,19,960,NA,"Canada","Foreign born","(10,20]"
"53",4,2500,1910,1,"male",1,23,400,NA,"Massachusetts","Native born, and both parents foreign","(20,30]"
"54",1,2500,1910,1,"female",1,21,999,NA,"Massachusetts","Native born, and both parents native born","(20,30]"
"55",1,2500,1910,1,"male",1,2,999,1,"Massachusetts","Native born, and both parents native born","(0,10]"
"56",5,15000,1910,1,"male",1,52,164,NA,"Canada","Foreign born","(50,60]"
"57",4,600,1910,1,"male",3,35,932,NA,"California","Native born, and both parents foreign","(30,40]"
"58",5,50000,1910,1,"male",3,38,928,NA,"China","Foreign born","(30,40]"
"59",4,600,1910,1,"male",3,25,928,NA,"California","Native born, and both parents foreign","(20,30]"
"60",2,2300,1910,1,"male",1,42,612,NA,"Maine","Native born, and father foreign, mother native","(40,50]"
"61",5,15000,1910,1,"female",1,35,999,NA,"Canada","Foreign born","(30,40]"
"62",3,2500,1910,1,"female",1,16,999,5,"Massachusetts","Native born, and mother foreign, father native","(10,20]"
"63",3,2500,1910,1,"male",1,12,999,5,"Massachusetts","Native born, and mother foreign, father native","(10,20]"
"64",3,2500,1910,1,"male",1,9,999,5,"Massachusetts","Native born, and mother foreign, father native","(0,10]"
"65",5,15000,1910,1,"male",2,59,140,NA,"Canada","Foreign born","(50,60]"
"66",5,15000,1910,1,"female",2,60,999,NA,"Canada","Foreign born","(50,60]"
"67",4,2500,1910,1,"female",2,35,999,5,"Massachusetts","Native born, and both parents foreign","(30,40]"
"68",4,2500,1910,1,"male",2,23,140,5,"Massachusetts","Native born, and both parents foreign","(20,30]"
"69",1,2500,1910,1,"male",2,50,999,NA,"Massachusetts","Native born, and both parents native born","(40,50]"
"70",5,15000,1910,1,"male",3,43,164,NA,"Canada","Foreign born","(40,50]"
"71",1,2500,1910,1,"female",3,33,999,NA,"Massachusetts","Native born, and both parents native born","(30,40]"
"72",4,2500,1910,1,"female",3,37,999,NA,"Massachusetts","Native born, and both parents foreign","(30,40]"
"73",4,2500,1910,1,"male",3,30,791,NA,"Massachusetts","Native born, and both parents foreign","(20,30]"
"74",1,2300,1910,1,"male",1,76,478,NA,"Maine","Native born, and both parents native born","(70,80]"
"75",5,15000,1910,1,"female",1,55,999,NA,"Canada","Foreign born","(50,60]"
"76",3,2500,1910,1,"male",1,29,830,5,"Massachusetts","Native born, and mother foreign, father native","(20,30]"
"77",3,2500,1910,1,"male",1,21,984,5,"Massachusetts","Native born, and mother foreign, father native","(20,30]"
"78",3,2500,1910,1,"male",1,20,992,5,"Massachusetts","Native born, and mother foreign, father native","(10,20]"
"79",3,2500,1910,1,"female",1,18,999,5,"Massachusetts","Native born, and mother foreign, father native","(10,20]"
"80",3,2500,1910,1,"female",1,15,999,5,"Massachusetts","Native born, and mother foreign, father native","(10,20]"
"81",5,15000,1910,1,"male",1,70,999,NA,"Canada","Foreign born","(60,70]"
"82",3,2500,1910,1,"female",1,61,999,NA,"Massachusetts","Native born, and mother foreign, father native","(60,70]"
"83",2,2500,1910,1,"male",1,37,362,3,"Massachusetts","Native born, and father foreign, mother native","(30,40]"
"84",2,2500,1910,1,"female",1,27,674,3,"Massachusetts","Native born, and father foreign, mother native","(20,30]"
"85",2,2500,1910,1,"male",1,23,994,3,"Massachusetts","Native born, and father foreign, mother native","(20,30]"
"86",2,2500,1910,1,"female",1,35,999,3,"Massachusetts","Native born, and father foreign, mother native","(30,40]"
"87",2,2500,1910,1,"female",1,20,862,2,"Massachusetts","Native born, and father foreign, mother native","(10,20]"
"88",1,2500,1910,1,"female",1,18,999,2,"Massachusetts","Native born, and both parents native born","(10,20]"
"89",1,3300,1910,1,"male",1,31,791,NA,"New Hampshire","Native born, and both parents native born","(30,40]"
"90",1,2500,1910,1,"female",1,29,999,NA,"Massachusetts","Native born, and both parents native born","(20,30]"
"91",1,2500,1910,1,"female",1,8,999,1,"Massachusetts","Native born, and both parents native born","(0,10]"
"92",1,2500,1910,1,"male",1,1,999,1,"Massachusetts","Native born, and both parents native born","(0,10]"
"93",1,2300,1910,1,"male",3,71,478,NA,"Maine","Native born, and both parents native born","(70,80]"
"94",1,2300,1910,1,"female",3,62,999,NA,"Maine","Native born, and both parents native born","(60,70]"
"95",1,2300,1910,1,"male",3,31,791,1,"Maine","Native born, and both parents native born","(30,40]"
"96",1,2300,1910,1,"male",3,29,791,NA,"Maine","Native born, and both parents native born","(20,30]"
"97",1,2300,1910,1,"female",3,20,791,NA,"Maine","Native born, and both parents native born","(10,20]"
"98",4,2500,1910,1,"male",1,27,362,NA,"Massachusetts","Native born, and both parents foreign","(20,30]"
"99",4,2500,1910,1,"female",1,27,999,NA,"Massachusetts","Native born, and both parents foreign","(20,30]"
"100",1,2500,1910,1,"female",1,3,999,4,"Massachusetts","Native born, and both parents native born","(0,10]"
"101",1,2500,1910,1,"female",1,1,999,4,"Massachusetts","Native born, and both parents native born","(0,10]"
"102",1,2500,1910,1,"male",1,0,999,4,"Massachusetts","Native born, and both parents native born",NA
"103",1,3300,1910,1,"male",1,41,152,NA,"New Hampshire","Native born, and both parents native born","(40,50]"
"104",5,41400,1910,1,"female",1,41,999,NA,"Ireland","Foreign born","(40,50]"
"105",3,2500,1910,1,"female",1,21,576,5,"Massachusetts","Native born, and mother foreign, father native","(20,30]"
"106",3,2500,1910,1,"female",1,19,482,5,"Massachusetts","Native born, and mother foreign, father native","(10,20]"
"107",3,2500,1910,1,"male",1,15,999,5,"Massachusetts","Native born, and mother foreign, father native","(10,20]"
"108",5,15000,1910,1,"male",1,35,140,NA,"Canada","Foreign born","(30,40]"
"109",5,15000,1910,1,"female",1,34,999,NA,"Canada","Foreign born","(30,40]"
"110",4,2500,1910,1,"male",1,9,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"111",4,2500,1910,1,"female",1,4,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"112",4,2500,1910,1,"male",1,1,999,5,"Massachusetts","Native born, and both parents foreign","(0,10]"
"113",5,15000,1910,1,"male",1,31,258,NA,"Canada","Foreign born","(30,40]"
"114",1,2300,1910,1,"male",2,68,478,NA,"Maine","Native born, and both parents native born","(60,70]"
"115",1,3300,1910,1,"female",2,34,382,NA,"New Hampshire","Native born, and both parents native born","(30,40]"
"116",5,41100,1910,1,"female",2,32,382,NA,"Scotland","Foreign born","(30,40]"
"117",5,15000,1910,1,"male",1,51,394,NA,"Canada","Foreign born","(50,60]"
"118",4,2500,1910,1,"male",1,23,791,NA,"Massachusetts","Native born, and both parents foreign","(20,30]"
"119",4,2500,1910,1,"male",1,19,394,NA,"Massachusetts","Native born, and both parents foreign","(10,20]"
"120",4,2500,1910,1,"male",1,17,122,NA,"Massachusetts","Native born, and both parents foreign","(10,20]"
"121",4,2500,1910,1,"female",1,16,999,NA,"Massachusetts","Native born, and both parents foreign","(10,20]"
"122",4,2500,1910,1,"female",1,6,999,NA,"Massachusetts","Native born, and both parents foreign","(0,10]"
"123",5,41400,1910,1,"male",1,52,196,NA,"Ireland","Foreign born","(50,60]"
"124",4,3400,1910,1,"male",1,22,743,NA,"New Jersey","Native born, and both parents foreign","(20,30]"
"125",4,3400,1910,1,"female",1,20,791,NA,"New Jersey","Native born, and both parents foreign","(10,20]"
"126",4,2500,1910,1,"female",1,15,576,NA,"Massachusetts","Native born, and both parents foreign","(10,20]"
"127",2,2500,1910,1,"male",1,11,999,NA,"Massachusetts","Native born, and father foreign, mother native","(10,20]"
