"","BPLD","YEAR","WARD","SEX","NFAMS","AGE","LABFORCE","OCCSTR","INDSTR","BIRTHPLACE"
"1",2500,1910,0,"male",3,57,2,"PROP","FOUNDRY","Massachusetts"
"2",5000,1910,0,"female",3,79,1,"OWN INC","","Vermont"
"3",2300,1910,0,"female",3,69,2,"DRESSMAKER","WORK BY DAY","Maine"
"4",41400,1910,0,"female",3,83,2,"SERV","PFAM","Ireland"
"5",2500,1910,1,"male",1,43,2,"ELEVATOR MAN","CONFECTIONARY","Massachusetts"
"6",15000,1910,1,"female",1,42,1,"N","","Canada"
"7",2500,1910,1,"female",1,18,2,"BOX PACKER","CANDY","Massachusetts"
"8",2500,1910,1,"female",1,14,0,"N","","Massachusetts"
"9",2500,1910,1,"male",1,11,0,"N","","Massachusetts"
"10",2300,1910,1,"female",1,73,1,"N","","Maine"
"11",15000,1910,1,"male",1,42,2,"FOREMAN","WINDOW SHADE","Canada"
"12",15000,1910,1,"female",1,44,1,"N","","Canada"
"13",2500,1910,1,"female",1,18,1,"N","","Massachusetts"
"14",2500,1910,1,"female",1,16,1,"N","","Massachusetts"
"15",2500,1910,1,"female",1,14,0,"N","","Massachusetts"
"16",2500,1910,1,"female",1,10,0,"N","","Massachusetts"
"17",2500,1910,1,"male",1,34,2,"CARP","HOUSE","Massachusetts"
"18",2500,1910,1,"female",1,33,1,"N","","Massachusetts"
"19",2500,1910,1,"female",1,12,0,"N","","Massachusetts"
"20",2500,1910,1,"male",1,10,0,"N","","Massachusetts"
"21",2500,1910,1,"female",1,64,1,"N","","Massachusetts"
"22",2500,1910,1,"female",1,37,1,"N","","Massachusetts"
"23",2500,1910,1,"male",1,42,2,"MACHINIST","NAVY YARD","Massachusetts"
"24",15000,1910,1,"male",1,74,2,"CARP","HOUSE","Canada"
"25",15000,1910,1,"male",2,40,2,"COOK","STEAMER","Canada"
"26",2300,1910,1,"female",2,35,1,"N","","Maine"
"27",2300,1910,1,"male",2,13,0,"N","","Maine"
"28",2300,1910,1,"male",2,10,0,"N","","Maine"
"29",2300,1910,1,"female",2,8,0,"N","","Maine"
"30",2300,1910,1,"male",2,6,0,"N","","Maine"
"31",2500,1910,1,"male",2,2,0,"N","","Massachusetts"
"32",3900,1910,1,"male",2,27,2,"COOK","TUG BOAT","Ohio"
"33",2500,1910,1,"female",2,47,2,"RETAIL MERCHANT","VARIETY STORE","Massachusetts"
"34",2500,1910,1,"male",2,24,2,"CONDUCTOR","STREET CARS","Massachusetts"
"35",2500,1910,1,"female",2,28,1,"N","","Massachusetts"
"36",2500,1910,1,"male",2,3,0,"N","","Massachusetts"
"37",2500,1910,1,"female",2,0,0,"N","","Massachusetts"
"38",2500,1910,1,"female",2,56,2,"NURSE","PFAM","Massachusetts"
"39",2500,1910,1,"male",1,44,2,"DRAW TENDER","BRIDGE","Massachusetts"
"40",2500,1910,1,"female",1,38,1,"N","","Massachusetts"
"41",2500,1910,1,"female",1,8,0,"N","","Massachusetts"
"42",2500,1910,1,"male",1,5,0,"N","","Massachusetts"
"43",2500,1910,1,"male",1,4,0,"N","","Massachusetts"
"44",2500,1910,1,"male",1,2,0,"N","","Massachusetts"
"45",2300,1910,1,"male",1,48,2,"ENGR","?REDGER","Maine"
"46",2300,1910,1,"female",1,42,1,"N","","Maine"
"47",2300,1910,1,"female",1,18,1,"N","","Maine"
"48",2300,1910,1,"male",1,14,0,"N","","Maine"
"49",2300,1910,1,"female",1,8,0,"N","","Maine"
"50",15000,1910,1,"male",2,50,2,"BKPR","TAILOR","Canada"
"51",15000,1910,1,"female",2,24,2,"STENO","DEPARTMENT STORE","Canada"
"52",15000,1910,1,"female",2,19,2,"SERV","PFAM","Canada"
"53",2500,1910,1,"male",1,23,2,"PATTERN MAKER","MACHINE SHOP","Massachusetts"
