"","YEAR","WARD","dimension","count"
"1",1910,0,"female",202
"2",1910,0,"male",185
"3",1910,1,"male",205
"4",1910,1,"female",195
"5",1910,2,"male",194
"6",1910,2,"female",177
"7",1910,3,"female",98
"8",1910,3,"male",86
"9",1910,4,"male",77
"10",1910,4,"female",70
"11",1910,5,"male",92
"12",1910,5,"female",78
"13",1910,6,"male",89
"14",1910,6,"female",61
"15",1910,7,"male",71
"16",1910,7,"female",57
"17",1910,8,"male",150
"18",1910,8,"female",95
"19",1910,9,"female",100
"20",1910,9,"male",92
"21",1910,10,"female",142
"22",1910,10,"male",125
"23",1910,11,"female",222
"24",1910,11,"male",122
"25",1910,12,"female",141
"26",1910,12,"male",95
"27",1910,13,"female",97
"28",1910,13,"male",94
"29",1910,14,"male",129
"30",1910,14,"female",121
"31",1910,15,"male",66
"32",1910,15,"female",60
"33",1910,16,"female",161
"34",1910,16,"male",137
"35",1910,17,"female",177
"36",1910,17,"male",145
"37",1910,18,"female",150
"38",1910,18,"male",143
"39",1910,19,"female",193
"40",1910,19,"male",173
"41",1910,20,"female",297
"42",1910,20,"male",247
"43",1910,21,"female",130
"44",1910,21,"male",82
"45",1910,22,"female",137
"46",1910,22,"male",130
"47",1910,23,"female",195
"48",1910,23,"male",159
"49",1910,24,"male",180
"50",1910,24,"female",162
"51",1910,25,"female",142
"52",1910,25,"male",142
"53",1920,0,"female",51
"54",1920,0,"male",46
"55",1920,1,"male",186
"56",1920,1,"female",184
"57",1920,2,"male",271
"58",1920,2,"female",230
"59",1920,3,"male",141
"60",1920,3,"female",133
"61",1920,4,"male",172
"62",1920,4,"female",151
"63",1920,5,"male",335
"64",1920,5,"female",255
"65",1920,6,"male",175
"66",1920,6,"female",163
"67",1920,7,"male",173
"68",1920,7,"female",162
"69",1920,8,"female",187
"70",1920,8,"male",147
"71",1920,9,"female",135
"72",1920,9,"male",125
"73",1920,10,"female",120
"74",1920,10,"male",113
"75",1920,11,"male",155
"76",1920,11,"female",136
"77",1920,12,"male",141
"78",1920,12,"female",136
"79",1920,13,"male",93
"80",1920,13,"female",86
"81",1920,14,"male",102
"82",1920,14,"female",95
"83",1920,15,"female",114
"84",1920,15,"male",100
"85",1920,16,"female",161
"86",1920,16,"male",158
"87",1920,17,"female",134
"88",1920,17,"male",122
"89",1920,18,"female",175
"90",1920,18,"male",159
"91",1920,19,"male",120
"92",1920,19,"female",111
"93",1920,20,"male",164
"94",1920,20,"female",157
"95",1920,21,"female",123
"96",1920,21,"male",123
"97",1920,22,"female",162
"98",1920,22,"male",132
"99",1920,23,"female",143
"100",1920,23,"male",116
"101",1920,24,"male",110
"102",1920,24,"female",97
"103",1920,25,"female",170
"104",1920,25,"male",123
"105",1920,26,"male",84
