gym,year,totals,classtype,count,ward
Cabot Street Gymnasium,1914,38005,individuals,9173,18
Cabot Street Gymnasium,1915,29567,individuals,5715,18
Cabot Street Gymnasium,1916,24618,individuals,5424,18
Cabot Street Gymnasium,1917,37082,individuals,11689,18
Cabot Street Gymnasium,1918,33193,individuals,7784,18
Cabot Street Gymnasium,1919,10500,individuals,1415,18
Cabot Street Gymnasium,1920,12053,individuals,655,18
Cabot Street Gymnasium,1921,10615,individuals,2192,18
Cabot Street Gymnasium,1922,25442,individuals,6075,18
Cabot Street Gymnasium,1923,21073,individuals,4980,18
Cabot Street Gymnasium,1924,22754,individuals,5736,18
Cabot Street Gymnasium,1925,10465,individuals,1780,18
Curtis Hall Gymnasium,1914,43240,individuals,5335,22
Curtis Hall Gymnasium,1915,33415,individuals,3030,22
Curtis Hall Gymnasium,1916,29265,individuals,3535,22
Curtis Hall Gymnasium,1917,31240,individuals,4245,22
Curtis Hall Gymnasium,1918,19833,individuals,3362,22
Curtis Hall Gymnasium,1919,7228,individuals,1021,22
Curtis Hall Gymnasium,1920,9312,individuals,1331,22
Curtis Hall Gymnasium,1921,17848,individuals,3729,22
Curtis Hall Gymnasium,1922,7770,individuals,0,22
Curtis Hall Gymnasium,1923,15623,individuals,855,22
Curtis Hall Gymnasium,1924,16102,individuals,0,22
Curtis Hall Gymnasium,1925,16830,individuals,258,22
D Street Gymnasium,1914,18359,individuals,1406,13
D Street Gymnasium,1915,21740,individuals,3884,13
D Street Gymnasium,1916,24228,individuals,4268,13
D Street Gymnasium,1917,25159,individuals,4412,13
D Street Gymnasium,1918,22956,individuals,4465,13
D Street Gymnasium,1919,5821,individuals,1566,13
D Street Gymnasium,1920,0,individuals,0,13
D Street Gymnasium,1921,25818,individuals,539,13
D Street Gymnasium,1922,17697,individuals,2481,13
East Boston Gymnasium,1914,33227,individuals,3538,2
East Boston Gymnasium,1915,32184,individuals,3341,2
East Boston Gymnasium,1916,27781,individuals,2774,2
East Boston Gymnasium,1917,21709,individuals,1929,2
East Boston Gymnasium,1918,19837,individuals,2022,2
East Boston Gymnasium,1920,8348,individuals,2014,2
East Boston Gymnasium,1921,20185,individuals,4423,2
East Boston Gymnasium,1922,23296,individuals,8153,2
